Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Agent interactions,Survey results,Product group,Support Level,Country,Latitude,Longitude
In progress,1013,High,Phone,Product setup,2nd line support,Adolpho Messingham,2023-01-02 07:27:25,2023-01-04 07:27:25,2023-01-02 07:29:25,2023-01-02 07:27:43.231,Within SLA,,SLA Violated,,3.0,,Other,Tier 2,Italy,43.036776,12.678565
Resolved,1014,Low,Chat,Purchasing and invoicing,1st line support,Bernard Beckley,2023-01-02 06:59:04,2023-01-03 06:59:04,2023-01-02 07:01:04,2023-01-02 06:59:57.471,Within SLA,2023-01-02 22:45:32.974,Within SLA,,2.0,,Custom software development,Tier 1,Austria,47.6964719,13.3457347
Resolved,1019,Medium,Chat,Pricing and licensing,2nd line support,Michele Whyatt,2023-01-03 00:38:48,2023-01-04 00:38:48,2023-01-03 00:40:48,2023-01-03 00:39:30.256,Within SLA,2023-01-05 12:47:55.793,SLA Violated,,2.0,,Training and Consulting Services,Tier 2,Poland,52.536273,19.050639
Resolved,1020,Medium,Chat,Product setup,1st line support,Kristos Westoll,2023-01-03 09:37:54,2023-01-04 09:37:54,2023-01-03 09:39:54,2023-01-03 09:41:55.452,SLA Violated,2023-01-03 20:31:37.896,Within SLA,,6.0,,Other,Tier 1,Germany,51.165691,10.451526
Resolved,1027,Low,Chat,Training request,1st line support,Bernard Beckley,2023-01-04 07:27:56,2023-01-05 07:27:56,2023-01-04 07:29:56,2023-01-04 07:28:51.784,Within SLA,2023-01-05 04:41:40.506,Within SLA,,3.0,,Training and Consulting Services,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1028,Low,Chat,Bug report,1st line support,Kristos Westoll,2023-01-04 21:46:12,2023-01-05 21:46:12,2023-01-04 21:48:12,2023-01-04 21:46:51.236,Within SLA,2023-01-05 13:28:20.309,Within SLA,,2.0,,Ready to use Software,Tier 1,Bulgaria,42.7249925,25.4833039
In progress,1031,Low,Email,Feature request,1st line support,Kristos Westoll,2023-01-04 18:08:24,2023-01-06 18:08:24,2023-01-04 19:08:24,2023-01-04 18:13:04.107,Within SLA,,SLA Violated,,4.0,,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1032,Low,Email,Product setup,2nd line support,Heather Urry,2023-01-04 12:47:17,2023-01-06 12:47:17,2023-01-04 13:47:17,2023-01-04 13:20:44.142,Within SLA,2023-01-05 07:54:03.448,Within SLA,,2.0,,Other,Tier 2,Germany,51.165691,10.451526
In progress,1034,Low,Chat,Other,1st line support,Connor Danielovitch,2023-01-04 19:06:20,2023-01-05 19:06:20,2023-01-04 19:08:20,2023-01-04 19:07:35.320,Within SLA,,SLA Violated,,9.0,,Training and Consulting Services,Tier 1,Germany,51.165691,10.451526
In progress,1035,High,Email,Training request,1st line support,Connor Danielovitch,2023-01-04 05:27:57,2023-01-06 05:27:57,2023-01-04 06:27:57,2023-01-04 06:07:00.171,Within SLA,,SLA Violated,,7.0,,Training and Consulting Services,Tier 1,Germany,51.165691,10.451526
